Repetition rate,exeTime[s],,real time
950,2.0581,,
951,2.1478,,
952,2.0837,,
953,2.131,,
954,2.0257,,
955,2.0027,,
956,2.0795,,
957,1.9754,,
958,2.0292,,
959,2.0282,,
960,1.9274,,
961,1.9872,,
962,1.9494,,
963,1.9067,,
964,2.044,,
965,1.9961,,
966,2.0983,,
967,2.0742,,
968,2.0989,,
969,2.0629,,
970,2.0591,,
971,1.9884,,
972,2.0584,,
973,2.035,,
974,1.9662,,
975,1.9466,,
976,1.9666,,
977,1.9112,,
978,2.0792,,
979,1.9776,,
980,2.0142,,
981,1.9985,,
982,2.125,,
983,2.0464,,
984,2.1465,,
985,1.9345,,
986,1.9878,,
987,2.0454,,
988,2.0771,,
989,1.901,,
990,1.8844,,
991,1.9221,,
992,1.8563,,
993,2.0728,,
994,2.0417,,
995,2.0502,,
996,2.0042,,
997,1.9772,,
998,1.9587,,
999,2.1421,,
1000,2.2915,,
1001,2.2055,,
1002,2.0882,,
1003,1.9743,,
1004,1.948,,
1005,1.9885,,
1006,1.9408,,
1007,1.9804,,
1008,2.055,,
1009,2.0571,,
1010,2.0291,,
1011,2.0304,,
1012,2.0389,,
1013,1.9446,,
1014,2.0286,,
1015,2.0033,,
1016,2.0131,,
1017,2.0348,,
1018,1.9927,,
1019,1.9496,,
1020,1.9849,,
1021,1.9806,,
1022,2.0125,,
1023,2.1251,,
1024,2.0744,,
1025,2.0567,,
1026,1.9963,,
1027,2.0799,,
1028,2.0394,,
1029,2.0934,,
1030,2.1751,,
1031,2.0539,,
1032,2.0194,,
1033,2.0059,,
1034,2.0106,,
1035,1.9192,,
1036,1.933,,
1037,2.031,,
1038,1.9504,,
1039,2.0273,,
1040,2.0742,,
1041,2.1445,,
1042,2.0457,,
1043,2.119,,
1044,2.048,,
1045,2.2717,,
1046,2.0398,,
1047,2.1187,,
1048,1.9488,,
1049,1.9702,,
1050,2.1032,,
1051,2.047,,
1052,2.2149,,
1053,2.0355,,
1054,2.1158,,
1055,2.0011,,
1056,2.0281,,
1057,2.1675,,
1058,2.047,,
1059,1.9884,,
1060,2.0444,,
1061,2.0228,,
1062,1.9907,,
1063,1.9363,,
1064,1.9318,,
1065,1.98,,
1066,2.0272,,
1067,2.1349,,
1068,2.115,,
1069,2.1133,,
1070,2.0943,,
1071,2.077,,
1072,2.0428,,
1073,2.0904,,
1074,1.9908,,
1075,2.048,,
1076,2.0127,,
1077,1.9483,,
1078,2.0309,,
1079,2.1354,,
1080,2.0889,,
1081,2.0343,,
1082,2.0435,,
1083,2.0292,,
1084,2.0696,,
1085,2.0441,,
1086,2.0049,,
1087,2.054,,
1088,2.0374,,
1089,2.0264,,
1090,2.0292,,
1091,1.978,,
1092,1.9019,,
1093,1.9993,,
1094,1.9079,,
1095,2.0536,,
1096,2.0717,,
1097,2.0408,,
1098,2.0755,,
1099,2.1699,,
1100,2.0697,,
1101,2.0637,,
1102,2.091,,
1103,2.1283,,
1104,2.1041,,
1105,2.0284,,
1106,1.9544,,
1107,1.9579,,
1108,2.1164,,
1109,2.0804,,
1110,2.0193,,
1111,1.9925,,
1112,2.0245,,
1113,2.0686,,
1114,2.0041,,
1115,2.0836,,
1116,2.0387,,
1117,2.0168,,
1118,2.0075,,
1119,2.0028,,
1120,1.9588,,
1121,1.9208,,
1122,1.9879,,
1123,1.9264,,
1124,2.0493,,
1125,2.0191,,
1126,2.0414,,
1127,2.0898,,
1128,2.0801,,
1129,2.0318,,
1130,2.0666,,
1131,2.0081,,
1132,2.0103,,
1133,2.1395,,
1134,1.9942,,
1135,2.0367,,
1136,1.9756,,
1137,1.9827,,
1138,1.9694,,
1139,2.0679,,
1140,1.9813,,
1141,2.0512,,
1142,2.0406,,
1143,1.9591,,
1144,2.0544,,
1145,2.0307,,
1146,2.0516,,
1147,2.0815,,
1148,1.981,,
1149,2.0076,,
1150,1.9576,,
1151,1.9618,,
1152,1.8912,,
1153,2.1092,,
1154,2.0627,,
1155,2.0462,,
1156,2.1378,,
1157,2.1366,,
1158,2.1002,,
1159,1.9837,,
1160,2.0519,,
1161,2.0385,,
1162,2.0625,,
1163,2.0038,,
1164,1.9721,,
1165,1.9114,,
1166,1.9367,,
1167,1.9399,,
1168,2.0552,,
1169,2.0838,,
1170,2.0729,,
1171,2.0443,,
1172,2.112,,
1173,2.0533,,
1174,2.0499,,
1175,2.0628,,
1176,2.0212,,
1177,2.0342,,
1178,1.9769,,
1179,1.9611,,
1180,1.9646,,
1181,1.9364,,
1182,2.0657,,
1183,2.0223,,
1184,2.0373,,
1185,1.9824,,
1186,2.04,,
1187,2.0336,,
1188,2.1292,,
1189,2.0745,,
1190,2.0485,,
1191,2.1846,,
1192,2.0186,,
1193,1.8863,,
1194,1.9283,,
1195,1.9056,,
1196,1.9146,,
1197,2.0497,,
1198,2.0059,,
1199,2.022,,
1200,2.0436,,
1201,2.0648,,
1202,2.0994,,
1203,2.0635,,
1204,2.048,,
1205,2.0624,,
1206,2.038,,
1207,2.0361,,
1208,1.9871,,
1209,1.9779,,
1210,1.9386,,
1211,1.8941,,
1212,2.0841,,
1213,2.0862,,
1214,2.0356,,
1215,2.0668,,
1216,2.1101,,
1217,2.0064,,
1218,2.0102,,
1219,2.1213,,
1220,2.0892,,
1221,2.0995,,
1222,2.0702,,
1223,1.9717,,
1224,1.953,,
1225,1.9195,,
1226,2.0413,,
1227,2.0683,,
1228,1.956,,
1229,2.0356,,
1230,2.0201,,
1231,2.0913,,
1232,2.1668,,
1233,2.0665,,
1234,2.0506,,
1235,2.1055,,
1236,2.0756,,
1237,2.0204,,
1238,1.9867,,
1239,2.0091,,
1240,1.8932,,
1241,2.0105,,
1242,2.0393,,
1243,2.039,,
1244,2.0236,,
1245,1.9662,,
1246,2.1185,,
1247,2.0474,,
1248,2.0907,,
1249,2.0726,,
1250,2.0621,,
1251,2.0434,,
1252,1.933,,
1253,1.9446,,
