Repetition rate,Coppelia_simTime[s],,
876,0.19995,,
877,0.30005,,
878,0.25,,
879,0.3501,,
880,0.24988,,
881,0.30005,,
882,0.3501,,
883,0.30005,,
884,0.29993,,
885,0.25,,
886,0.19995,,
887,0.20007,,
888,0.30005,,
889,0.25,,
890,0.29993,,
891,0.40002,,
892,0.34998,,
893,0.24988,,
894,0.30005,,
895,0.30005,,
896,0.29993,,
897,0.24988,,
898,0.30005,,
899,0.30005,,
900,0.1499,,
901,0.30005,,
902,0.25,,
903,0.29993,,
904,0.30005,,
905,0.1499,,
906,0.25012,,
907,0.29993,,
908,0.2998,,
909,0.25,,
910,0.30005,,
911,0.34998,,
912,0.34998,,
913,0.34998,,
914,0.25,,
915,0.25,,
916,0.25,,
917,0.24988,,
918,0.30005,,
919,0.24988,,
920,0.30005,,
921,0.30005,,
922,0.30005,,
923,0.25,,
924,0.25,,
925,0.29993,,
926,0.30005,,
927,0.29993,,
928,0.30005,,
929,0.25,,
930,0.20007,,
931,0.2998,,
932,0.30005,,
933,0.20007,,
934,0.29993,,
935,0.30005,,
936,0.3501,,
937,0.30005,,
938,0.25,,
939,0.30005,,
940,0.30005,,
941,0.25,,
942,0.25,,
943,0.25,,
944,0.25012,,
945,0.30005,,
946,0.34998,,
947,0.34985,,
948,0.30005,,
949,0.25,,
950,0.25,,
951,0.25,,
952,0.25,,
953,0.2998,,
954,0.25,,
955,0.2998,,
956,0.25,,
957,0.30005,,
958,0.25024,,
959,0.25,,
960,0.30005,,
961,0.2002,,
962,0.1499,,
963,0.19971,,
964,0.25,,
965,0.30005,,
966,0.24976,,
967,0.19995,,
968,0.30005,,
969,0.24976,,
970,0.3501,,
971,0.15015,,
972,0.25,,
973,0.25,,
974,0.19971,,
975,0.30005,,
976,0.25024,,
977,0.19995,,
978,0.25024,,
979,0.30005,,
980,0.3501,,
981,0.30005,,
982,0.25,,
983,0.30005,,
984,0.30005,,
985,0.30005,,
986,0.25,,
987,0.30005,,
988,0.25,,
989,0.24976,,
990,0.30005,,
991,0.25,,
992,0.3999,,
993,0.35034,,
994,0.30005,,
995,0.30005,,
996,0.2998,,
997,0.30005,,
998,0.30005,,
999,0.30005,,
1000,0.30005,,
1001,0.25,,
1002,0.35,,
1003,0.35,,
1004,0.3,,
1005,0.2,,
1006,0.25,,
1007,0.3,,
1008,0.25,,
1009,0.3,,
1010,0.25,,
1011,0.25,,
1012,0.25,,
1013,0.25,,
1014,0.3,,
1015,0.3,,
1016,0.25,,
1017,0.25,,
1018,0.3,,
1019,0.29999,,
1020,0.25003,,
1021,0.30002,,
1022,0.24997,,
1023,0.30002,,
1024,0.34998,,
1025,0.24997,,
1026,0.29996,,
1027,0.20001,,
1028,0.35001,,
1029,0.29999,,
1030,0.25,,
1031,0.29999,,
1032,0.29996,,
1033,0.24997,,
1034,0.25,,
1035,0.30002,,
1036,0.25003,,
1037,0.25,,
1038,0.34998,,
1039,0.25,,
1040,0.29999,,
1041,0.30005,,
1042,0.30005,,
1043,0.25,,
1044,0.25006,,
1045,0.30005,,
1046,0.30005,,
1047,0.29999,,
1048,0.24994,,
1049,0.29999,,
1050,0.20007,,
1051,0.24994,,
1052,0.29999,,
1053,0.25,,
1054,0.25,,
1055,0.25006,,
1056,0.25,,
1057,0.29999,,
1058,0.29999,,
1059,0.30005,,
1060,0.30005,,
1061,0.30005,,
1062,0.29999,,
1063,0.30005,,
1064,0.25,,
1065,0.29999,,
1066,0.24994,,
1067,0.30005,,
1068,0.30005,,
1069,0.29999,,
1070,0.25,,
1071,0.25,,
1072,0.25006,,
1073,0.34998,,
1074,0.25,,
1075,0.29993,,
1076,0.24988,,
1077,0.30005,,
1078,0.30005,,
1079,0.29993,,
1080,0.29993,,
1081,0.34985,,
1082,0.30005,,
1083,0.25,,
1084,0.30005,,
1085,0.30005,,
1086,0.30005,,
1087,0.24988,,
1088,0.24988,,
1089,0.25,,
1090,0.30005,,
1091,0.30005,,
1092,0.30005,,
1093,0.30005,,
1094,0.29993,,
1095,0.30005,,
1096,0.15002,,
1097,0.29993,,
1098,0.15002,,
1099,0.30005,,
1100,0.2998,,
1101,0.15002,,
1102,0.25,,
1103,0.29993,,
1104,0.30005,,
1105,0.3501,,
1106,0.24988,,
1107,0.2998,,
1108,0.30005,,
1109,0.25,,
1110,0.24988,,
1111,0.29993,,
1112,0.25,,
1113,0.3501,,
1114,0.29993,,
1115,0.15002,,
1116,0.25,,
1117,0.29993,,
1118,0.29993,,
1119,0.34998,,
1120,0.25,,
1121,0.29993,,
1122,0.29993,,
1123,0.2998,,
1124,0.29993,,
1125,0.30005,,
1126,0.34985,,
1127,0.3501,,
1128,0.25,,
1129,0.30005,,
1130,0.25,,
1131,0.29993,,
1132,0.30005,,
1133,0.25,,
1134,0.29993,,
1135,0.29993,,
1136,0.25,,
1137,0.30005,,
1138,0.25012,,
1139,0.25,,
1140,0.30005,,
1141,0.25,,
1142,0.25,,
1143,0.19983,,
1144,0.30005,,
1145,0.25012,,
1146,0.19995,,
1147,0.2998,,
1148,0.2998,,
1149,0.25,,
1150,0.25,,
1151,0.25,,
1152,0.19995,,
1153,0.24976,,
1154,0.34985,,
1155,0.30005,,
1156,0.30005,,
1157,0.30005,,
1158,0.30005,,
1159,0.30005,,
1160,0.25024,,
1161,0.25,,
1162,0.2998,,
1163,0.25,,
1164,0.30005,,
1165,0.24976,,
1166,0.40015,,
1167,0.25,,
1168,0.30005,,
1169,0.25,,
1170,0.3501,,
1171,0.3501,,
1172,0.30005,,
1173,0.30005,,
1174,0.30005,,
1175,0.30005,,
1176,0.30005,,
1177,0.30005,,
1178,0.30005,,
1179,0.3501,,
1180,0.3501,,
1181,0.30005,,
1182,0.24976,,
1183,0.25,,
1184,0.24976,,
1185,0.25,,
1186,0.24976,,
1187,0.30005,,
1188,0.30005,,
1189,0.30005,,
1190,0.30005,,
1191,0.30005,,
1192,0.24976,,
1193,0.14966,,
1194,0.30005,,
1195,0.30005,,
1196,0.25,,
1197,0.30005,,
1198,0.3501,,
1199,0.2998,,
1200,0.3501,,
1201,0.25,,
1202,0.3,,
1203,0.25,,
1204,0.25,,
1205,0.25,,
1206,0.3,,
1207,0.3,,
1208,0.35,,
1209,0.3,,
1210,0.3,,
1211,0.25,,
1212,0.25,,
1213,0.35001,,
1214,0.25,,
1215,0.3,,
1216,0.29999,,
1217,0.25,,
1218,0.3,,
1219,0.30002,,
1220,0.30002,,
1221,0.25003,,
1222,0.29996,,
1223,0.24997,,
1224,0.20001,,
1225,0.30002,,
1226,0.25003,,
1227,0.34998,,
1228,0.25,,
1229,0.24997,,
1230,0.25,,
1231,0.25,,
1232,0.30002,,
1233,0.30002,,
1234,0.24997,,
1235,0.34998,,
1236,0.30002,,
1237,0.25,,
1238,0.30005,,
1239,0.24994,,
1240,0.29999,,
1241,0.24994,,
